Congress,ICPSR ID,State Code,District,State,Party,Name,1st Dimension,2nd Dimension,1st Dimension S.E.,2nd Dimension S.E.,Correlation,Log-likelihood,Votes,Classification Errors,Geometric Mean Probability
108,29713,43,2,FLORIDA,100,BOYD,-0.17,0.458,0.036,0.032,-0.152,-207.50241,799,96,0.771
108,20335,4,1,NEW HAM,200,BRADLEY,0.526,-0.725,0.174,0.082,-0.221,-166.08891,823,70,0.817
108,29777,14,1,PENNSYL,100,BRADY,-0.473,0.353,0.011,0.088,-0.06,-172.89191,830,76,0.812
108,29760,49,8,TEXAS,200,BRADY,0.621,0.178,0.057,0.134,-0.236,-93.46967,813,32,0.891
108,13056,45,0,LOUISIA,100,BREAUX,-0.113,0.854,0.128,0.217,-0.235,-147.76993,508,77,0.748
108,29328,43,3,FLORIDA,100,BROWN,-0.421,0.087,0.015,0.058,-0.355,-134.94652,790,62,0.843
108,29389,24,13,OHIO,100,BROWN,-0.489,0.041,0.038,0.139,-0.423,-117.33933,816,55,0.866
108,20137,48,1,SOUTH C,200,BROWN,0.527,-0.056,0.108,0.049,-0.062,-70.45682,842,20,0.92
108,20313,43,5,FLORIDA,200,BROWN-WAITE,0.481,0.208,0.091,0.201,-0.017,-131.39937,804,54,0.849
108,29523,32,0,KANSAS,200,BROWNBACK,0.459,-0.398,0.02,0.051,0.611,-67.0517,505,31,0.876
108,15406,51,0,KENTUCK,200,BUNNING,0.622,0.193,0.029,0.26,0.308,-40.83134,504,14,0.922
108,20355,49,26,TEXAS,200,BURGESS,0.604,0.343,0.065,0.245,-0.17,-112.7666,822,46,0.872
108,20320,44,12,GEORGIA,200,BURNS,0.478,-0.02,0.099,0.096,-0.168,-87.38211,835,30,0.901
108,15701,64,0,MONTANA,200,BURNS,0.406,0.219,0.021,0.211,0.113,-46.8497,512,22,0.913
108,29548,47,5,NORTH C,200,BURR,0.405,0.042,0.091,0.094,-0.169,-113.56027,794,43,0.867
